;Comentario
0;"Isso é muito bom,porém estudos mostram
que essa é a geração terá o QI abaixo do esperado com tudo isso"
1;Entender e praticar isso tudo é  ordemmmmm!!!!! Vc é toppp demais
2;Sensacional
3;ola parabens pelo trabalho
4;Primeira vez que vejo uma edição nesse nível  ,se é loku
5;Eu faço questão de deixar o like e salvar todos os vídeos, Daniel é elite, isso aqui é youtube Gold, meus amigos!
6;Conteúdo interessante mas você tem que achar um desses aí que melhore seu Ingles. Puta bixo, não é EA tá aí e AÍ.
7;Esse é o futuro!
8;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?
9;Tem uma IA boa para realizar apresentações em PowerPoint?
10;*Vendo essas I.A a primeira coisa que me vem em mente é o seriado Black Mirror.*
11;Em vez de educar o ser humano, tão educando ad máquinas. A máquinas herdarão a terra?
12;Agora fiquei curioso pra saber o último que ele não quis contar
13;7:25 ah desgraçada, eu vejo isso toda hora em anúncio de Instagram
14;Amigo não conhecia teu canal, mas uma dica, você fala baixo, e se porta de maneira contida. Melhore isso que sua edição e roteiro são ótimas e mantém a gente assistindo.
15;Esse vídeo  ficou TOP demais. Parabéns
16;Eu querendo apenas um Jarvis igual do Homem de Ferro no meu celular, os caras apelando com AI usando tecnologia fora do normal.
17;Cade parte 2 Blaze
18;Os likes nesse comentário são quantos reais o editor vai ganhar a mais nesse mês kkkkk
19;"Vídeo espetacular
Parte 2 + bônus"
20;'Bem-vinda' Skynet...
21;"""Rewind i ei""
É rewind ei ai (A I)"
22;Faz um vídeo falando sobre as corretoras de opções Binarias.  Muitas reclamações de pessoas que foram enganadas por corretoras famosas como IQ Option, quotex e binomo
23;Esse canal e realmente inovador
24;Mais a Compose IA só tem em ingles?
25;Ta gente mais imagina todas essas inteligências artificiais em um robo , imagina so como seria o mundo
26;meu Deus que conteúdo...
27;🍿🗿🥤
28;Top
29;Elas vão aprender com você a ser você.
30;Cair de paraquedas nesse canal, sempre ouvir falar de marketing mais nunca conheci, queria aprender mais, o que me aconselha Daniel?
31;Mano meu cérebro explodiu aos 2 minutos de vídeo, expectativas superadas 😂
32;Q Top d+
33;:D
34;Que vídeo incrível. O futuro pode ser assustador, mas também parece ser muito fascinante 🐧
35;Jajá vai bater 1M de inscritos 
36;Nossaaaa Daniel vc ta Fitness, que top, ensina oque vc fez ?
37;Caramba, e a chave do sucesso, obrigado, continua com esses vídeos agregando, está demais, parabéns, maratona do tudo.
38;Essa cara é um fi da mãe, confesso que começei assistindo os videos (da blaze que acredito ser uma tremenda falcatrua) do Danielachando que seria mais do mesmo, mas o bixo ta bom mesmo, esntregando muito conteúdo! parabens pelo trabalho man
39;"Boa Noite Daniel, como vai? Espero que bem! 
Me chamo Angélica Vendramin Graboski, sou advogada, e tenho vários clientes que foram extremamente lesados pela Blaze. 
Eu e você compartilhamos do mesmo objetivo, que é identificar quem está por trás desta ""empresa"", e, por esta razão, alguns questionamentos me surgiram ao assistir o seu vídeo sobre este assunto.
Primeiramente, gostaria que você esclarecesse de qual forma lhe foi feita esta proposta para que passasse a ser mais um influencer divulgando esta “empresa”, em nome de quem ou de qual empresa, e quem ou qual empresa seria a outra ponta deste contrato; de onde viria o pagamento?
Ainda, questiono se não lhe passou pela cabeça aceitar essa proposta, no intuito de obter estas informações, ainda que você não prestasse o serviço pelo qual teria sido contratado (uma vez que, se é impossível processar a Blaze no Brasil, certamente também seria impossível à Blaze que te processasse sem que fosse necessário revelar seus dados sigilosos)?
Agradeço desde já, e deixo aqui meus cumprimentos pela qualidade do seu trabalho."
40;iiii ei hahah - é Ei Ai (AI)
41;qual câmera você utiliza?
42;A EVOLUÇÃO DE VERDADE E AGORA
43;Fala Daniel, mandei email, direct, msg no linkedin, facebook em todos os canais que achei vinculados ao seu nome.... olha lá please!!!!
44;Usar IA pra ler as legislações do Brasil e baixar impostos nas empresas
45;Ah eu adoro seus videos
46;Tô achando que o Daniel foi criado por uma IA
47;Viciei neste canal 😱
48;que doido!
49;Vc é top d+, brabo, vou aprender com você 🧠👏🏼
50;"Esse site ""Essa pessoa não existe"" não foi baseado no Midjourney. Ele já existe há anos"
51;"Eu, eu to com medo do que essas inteligências podem fazer

Mais especificamente, do que as pessoas podem fazer com essas inteligências..."
52;“Olá, seja bem vindo ao sistema ctOS, o sistema mais completo e seguro de toda a América, conecte-se ao mundo! Revolucione ! 😮 só quem já jogou sabe 😂
