;Comentario;ClassificacaoManual;ClassificacaoSVM
0;"Isso é muito bom,porém estudos mostram
que essa é a geração terá o QI abaixo do esperado com tudo isso";n;0
2;Sensacional;p;0
7;Esse é o futuro!;p;1
8;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?;n;0
10;*Vendo essas I.A a primeira coisa que me vem em mente é o seriado Black Mirror.*;n;0
11;Em vez de educar o ser humano, tão educando ad máquinas. A máquinas herdarão a terra?;n;0
20;'Bem-vinda' Skynet...;n;0
25;Ta gente mais imagina todas essas inteligências artificiais em um robo , imagina so como seria o mundo;n;0
29;Elas vão aprender com você a ser você.;n;0
34;Que vídeo incrível. O futuro pode ser assustador, mas também parece ser muito fascinante 🐧;p;1
42;A EVOLUÇÃO DE VERDADE E AGORA;p;0
44;Usar IA pra ler as legislações do Brasil e baixar impostos nas empresas;p;0
51;"Eu, eu to com medo do que essas inteligências podem fazer

Mais especificamente, do que as pessoas podem fazer com essas inteligências...";n;0
55;que absurdo, coisa boa, o Zuckerberg disse que o futuro da comunicação vai ser a telepatia, eu falo e as pessoas duvidam, a internet vai estar dentro do nosso cérebro, eu falei isso e me chamaram de maluca, pessoas desinformadas;p;1
70;"""não tenho medo da evolução da inteligência artificial, tenho medo do retrocesso da inteligência natural""";p;1
72;Deus me livre. Olha o mostro que está sendo criado.;n;0
79;O bagulho vai fica loko nos próximos anos;p;1
83;baguio doido.;n;0
89;Obrigado Deus por dar capacidade ao homem i muita inteligência a ponto de criar ferramentas para que pelo meu bom uso eu possa encurtar o tempo para ser um Bilionário.👑💵🖤;p;1
115;Inteligência artificial para mim vai fazer o cérebro humano diminuir o raciocínio vai tornar o cérebro preguiçoso  vai acabar com os empregos de maneira geral  portanto vai atrofiar a vida o cérebro   o corpo e o espírito  e acabar com o sentido e sentimentos bons da vida ...;n;0
118;Possibilidade do ser humano perder a subjetividade!;n;0
