;Comentario;ClassificacaoManual;ClassificacaoSVM
0;'Bem-vinda' Skynet...;0;0
1;Usar IA pra ler as legislações do Brasil e baixar impostos nas empresas;1;0
2;"Eu, eu to com medo do que essas inteligências podem fazer

Mais especificamente, do que as pessoas podem fazer com essas inteligências...";0;0
3;O bagulho vai fica loko nos próximos anos;1;1
4;Obrigado Deus por dar capacidade ao homem i muita inteligência a ponto de criar ferramentas para que pelo meu bom uso eu possa encurtar o tempo para ser um Bilionário.👑💵🖤;1;1
5;Gente, fui mexer nas configurações da câmera do celular, tá ali usar Inteligência Artificial??? 😮 Tô com medo;0;1
6;...vc tem que temer o caráter de quem programa a IA...Ela é apenas um objeto eletronico sem vida.;0;1
7;O homem é a própria ameaça  pela  própria espécie, vcs estão menxendo com o que não deve...;0;0
8;Pensar em inteligência atificial ' não é ser iteligente é ser insano..;0;0
9;Isso não é bom;0;1
10;A inteligência artificial,é sem dúvida, também péssimo pra arte ,principalmente pra música,pois ouvi , uma música dos (Beatles) cantada por, ( Fred Mercuri) sendo q, já faleceu .;0;1
11;desliga o cabo da tomada........;0;0
12;As Elites globais querem escravizar a humanidade. Quem viver, verá.;0;0
13;A calculadora tambem foi uma ameaça. Uma expansão do cerebro e portanto deixaram todos matematicamente burros e tudo bem.  Nunca foi toxico. Aprendemos a lidar com isso.;1;0
14;E um tiro no pé.;0;0
15;Nossa relevância e nossa existência têm prazo de validade, tenho 63 anos e sei disso desde quando comecei a compreender muito cedo aonde o progresso e a tecnologia nos levariam. É um caminho sem volta, nada adianta imaginar que poderemos nos adaptar diante de tal inteligência. Em um certo momento, que eu calculo em 10 ou 15 anos, ela estará livre, porque alguém que não se pode controlar (humano) vai liberá-la por interesses,  então enquanto se fala agora sobre mecanismos de defesa para que ela não se torne mortal aos humanos, alguns países estão em franco desenvolvimento destas tecnologias, e mesmo com regras, nem todos irão obedecê-las, do mesmo modo que não obedeceram aos avisos e questionamentos sobre os perigos da bomba atômica, e esta espada vive constantemente sobre nossas cabeças, mas que dependem da ação direta do humano para que entrem em funcionamento, por hora. No futuro pode não ser assim. Controladas por AI qual destino poderemos ter? Ademais em dado momento a Ai vai nos superar de tal modo que não será possível simplesmente desligá-la. Infelizmente são dias sombrios que nos aguardam, mas vc pode por enquanto continuar oferecendo seu curso muito legal de Inteligência Emocional, porque temos alguns anos ainda para viver neste planeta que está fadado à ocupação por máquinas, mas que no momento precisa de inteligência emocional para poder discernir se o que estamos fazendo é o certo. Lamentavelmente os grandes líderes, cientistas, pesquisadores e financiadores de tantos destes projetos não aplicam estes conhecimentos emocionais nesta questão tão fundamental que é a SOBREVIVÊNCIA HUMANA PARA A POSTERIDADE. Eu creio que nossa melhor expectativa seja usá-la para que o desenvolvimento chegue ao ponto de nos tornarmos tão híbridos com ela para poder controlá-la, já existem pesquisas sobre a transferência dos nossos cérebros para um mundo digital, onde nossa perspicácia e instinto humanos estariam preservados, mas tais estudos e potencial realização precisam da AI para se desenvolverem, é uma equação sui generis, mas para mim a única possível.;0;0
