;Comentario;ClassificacaoManual;ClassificacaoSVM
0;Entender e praticar isso tudo é  ordemmmmm!!!!! Vc é toppp demais;2;0
1;Sensacional;1;2
2;Tem uma IA boa para realizar apresentações em PowerPoint?;2;2
3;Agora fiquei curioso pra saber o último que ele não quis contar;2;2
4;7:25 ah desgraçada, eu vejo isso toda hora em anúncio de Instagram;2;2
5;Eu querendo apenas um Jarvis igual do Homem de Ferro no meu celular, os caras apelando com AI usando tecnologia fora do normal.;2;2
6;Faz um vídeo falando sobre as corretoras de opções Binarias.  Muitas reclamações de pessoas que foram enganadas por corretoras famosas como IQ Option, quotex e binomo;2;2
7;Mais a Compose IA só tem em ingles?;2;2
8;Ta gente mais imagina todas essas inteligências artificiais em um robo , imagina so como seria o mundo;0;2
9;🍿🗿🥤;2;2
10;Elas vão aprender com você a ser você.;0;0
11;Que vídeo incrível. O futuro pode ser assustador, mas também parece ser muito fascinante 🐧;1;2
12;Nossaaaa Daniel vc ta Fitness, que top, ensina oque vc fez ?;2;2
13;"Boa Noite Daniel, como vai? Espero que bem! 
Me chamo Angélica Vendramin Graboski, sou advogada, e tenho vários clientes que foram extremamente lesados pela Blaze. 
Eu e você compartilhamos do mesmo objetivo, que é identificar quem está por trás desta ""empresa"", e, por esta razão, alguns questionamentos me surgiram ao assistir o seu vídeo sobre este assunto.
Primeiramente, gostaria que você esclarecesse de qual forma lhe foi feita esta proposta para que passasse a ser mais um influencer divulgando esta “empresa”, em nome de quem ou de qual empresa, e quem ou qual empresa seria a outra ponta deste contrato; de onde viria o pagamento?
Ainda, questiono se não lhe passou pela cabeça aceitar essa proposta, no intuito de obter estas informações, ainda que você não prestasse o serviço pelo qual teria sido contratado (uma vez que, se é impossível processar a Blaze no Brasil, certamente também seria impossível à Blaze que te processasse sem que fosse necessário revelar seus dados sigilosos)?
Agradeço desde já, e deixo aqui meus cumprimentos pela qualidade do seu trabalho.";2;2
14;Fala Daniel, mandei email, direct, msg no linkedin, facebook em todos os canais que achei vinculados ao seu nome.... olha lá please!!!!;2;2
15;“Olá, seja bem vindo ao sistema ctOS, o sistema mais completo e seguro de toda a América, conecte-se ao mundo! Revolucione ! 😮 só quem já jogou sabe 😂;2;2
16;“iais” é foda kkkkk;2;2
17;No FILME PÂNICO 3 JA TINHA ESSA INTELIGÊNCIA ARTIFICIAL DE CLONAR A VOZ;2;2
18;Esse vídeo tá tão bem feito que até voltei aqui para assistir de novo;2;2
19;Eu sou desenvolvedor de Software empregado atualmente, e busco todos os dias criar soluções digitais com essas IAs, mas não é simples, kkk.;2;1
20;Qual conselho vc daria a um jovem de 13 anos sem nd;2;2
21;O bagulho vai fica loko nos próximos anos;1;2
22;Como esse cara tá crescendo tanto aqui na plataforma, parabéns Daniel vc é phoda 💪;2;2
23;Daniel  meu filho subiu a campanha  com anúncios patrocinados dia 17 até  hoje  nunca fez venda so saindo dinheiro da conta dele  entrando e zero ele vai desistir essa semana;2;2
24;Obrigado Deus por dar capacidade ao homem i muita inteligência a ponto de criar ferramentas para que pelo meu bom uso eu possa encurtar o tempo para ser um Bilionário.👑💵🖤;1;2
25;Canal brabo🔥;2;2
26;Os Melhores Vídeos Ever.;2;2
27;Não precisa colocar um chip no cérebro para controlar a mente. A televisão e o marketing já faz isso desde o século XX, com extrema eficiência. A propaganda deixou o povo burro;2;2
28;entrevista maravilhosa!;2;2
29;"Ter lembrado do filme ""WarGames"" de 1983 com Matthew Broderick foi muito oportuno e a resposta foi muito interessante.❤";2;2
30;Nikolellis, orgulho do Brasil 😊;2;2
31;Inteligência artificial para mim vai fazer o cérebro humano diminuir o raciocínio vai tornar o cérebro preguiçoso  vai acabar com os empregos de maneira geral  portanto vai atrofiar a vida o cérebro   o corpo e o espírito  e acabar com o sentido e sentimentos bons da vida ...;0;0
32;Possibilidade do ser humano perder a subjetividade!;0;0
33;Muito obrigada ÓPERA MUNDI. Nicollelis, pessoa MARAVILHOSA! Quanto saber!;2;2
34;Que entrevista impressionante! Queria ter visto ao vivo!;2;2
35;SHOW de entrevista.❤;2;2
36;Muito bom!;2;2
37;Sua explanaçao foi de uma relevancia extraordinária. Parabéns e sou muitíssimo grata por esta opirtunidade. Muita Luz e Paz em sua trajetória.;2;2
38;Pensar em inteligência atificial ' não é ser iteligente é ser insano..;0;0
39;Que venha o Asteróide!;0;2
40;Cheguei até o final ❤. Obrigada PEDRO.;2;2
41;As Elites globais querem escravizar a humanidade. Quem viver, verá.;0;2
42;Top o nome do Canal 💜;2;2
43;Cheguei até o final.;2;2
44;Talvez quando nos tornarmos todos inúteis, nos tornaremos  humanos;2;0
45;Você mudou meu dia, o rumo do meu trabalho e provavelmente o resto da minha vida! Obrigada por tudo! Não imagina o quanto tem contribuído positivamente em minha vida!!! Comprei todos os livros indicados neste vídeo, na loja Kindle, mas comprei 🤣🤩;2;2
46;Gente!!!!! que vídeo maravilhoso .;2;2
47;50:45 o esquadro das coisas planas. Uso direto. Kkk;2;2
48;Chat gpt me tirou da depressão kkkk;2;2
49;Sim, cheguei até o final!👏;2;2
50;eu estou morrendo de meda 😂esse carra esta usando a psicologia do medo 😁é filme de terro ou seção vidente;2;2
51;IE avançando para o bem e para o mal. Assisti até o final.;2;1
52;Sua alerta faz muito a diferença. Para se aprimorar aproveitar o máximo e se reenventar de fato . Obg.❤;2;1
53;Excelente palestra. Parabens.;2;2
