;Comentario;ClassificacaoManual;ClassificacaoSVM
0;"Isso é muito bom,porém estudos mostram
que essa é a geração terá o QI abaixo do esperado com tudo isso";0;0
1;Sensacional;1;0
2;Esse é o futuro!;1;1
3;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?;0;0
4;*Vendo essas I.A a primeira coisa que me vem em mente é o seriado Black Mirror.*;0;0
5;Em vez de educar o ser humano, tão educando ad máquinas. A máquinas herdarão a terra?;0;0
6;Ta gente mais imagina todas essas inteligências artificiais em um robo , imagina so como seria o mundo;0;0
7;Elas vão aprender com você a ser você.;0;0
8;Que vídeo incrível. O futuro pode ser assustador, mas também parece ser muito fascinante 🐧;1;1
9;A EVOLUÇÃO DE VERDADE E AGORA;1;0
10;que absurdo, coisa boa, o Zuckerberg disse que o futuro da comunicação vai ser a telepatia, eu falo e as pessoas duvidam, a internet vai estar dentro do nosso cérebro, eu falei isso e me chamaram de maluca, pessoas desinformadas;1;1
11;"""não tenho medo da evolução da inteligência artificial, tenho medo do retrocesso da inteligência natural""";1;1
12;Deus me livre. Olha o mostro que está sendo criado.;0;0
13;baguio doido.;0;0
14;Inteligência artificial para mim vai fazer o cérebro humano diminuir o raciocínio vai tornar o cérebro preguiçoso  vai acabar com os empregos de maneira geral  portanto vai atrofiar a vida o cérebro   o corpo e o espírito  e acabar com o sentido e sentimentos bons da vida ...;0;0
15;Possibilidade do ser humano perder a subjetividade!;0;0
16;"Te garanto que a inteligência artificial por si só não é ruim 
Mas uma inteligência artificial controlada pelo ser humano pode ser ruim .";1;1
17;"""Nenhum homem consegue superar uma máquina, e nenhuma máquina consegue superar um homem com uma máquina""... quem destrói o homem é o próprio homem.";1;1
18;Os robôs vão serem programados para fazerem o que for melhor para laboratório, políticos, empresários, etc  ... Não acredito que vai ajudar os seres bhumanos.....;0;0
19;Pedro não seja INGÊNUO... Erradicar a fome, pobreza, etc... Kkkkkkk... Governos querem PODER !!!!!!!! 🗺🌐🌏🌍🌎🎆🎆🎆🎆🎆;0;0
20;Quem toma as decisões são os líderes de governo. Geralmente, essas decisões não são em prol da  humanidade 😑;0;0
21;Que venha o Asteróide!;0;0
22;Boa tarde parabéns pelo vídeo,concordo em tudo que Vc diz e ainda tem mais, quem tem a inteligência para Vc é emocional,mas pode mim é inteligência que vem de de Deus,e quem tem essa inteligência tem a capacidade de está alguns anos a frente desta inteligência artificial,por que eles querem apagar e dês ligar nosso Cérebro e Desculpa pela minha opinião e Obrigado;0;0
23;"Estou mais preocupado com a Burrice Natural, isso sim pode ser o fim da humanidade.  
A ignorância sempre causou alarme e pânico.";1;1
24;A verdade é que todos vamos ser substituídos os bons e ruins profissionais.;0;0
25;"Calabrez! Acredito que tenha deixado de falar sobre um aspecto, que acredito que será mais ""catastrófico"", neste momento ainda temos alguma limitação de processamento e modelos das IA´s devido as condições atuais, entretanto em muito pouco tempo os COMPUTADORES QUANTICOS irão estar operacionais, e estes modelos melhorados rodarão nestes COMPUTADORES ""INFINITOS"" e ai vejo um grande DESASTRE.... As pessoas ainda não entenderam o tamanho da complexidade.... Estudo isso há seis meses e me ""arrepio"" todos os dias com a quantidade de novidades e avanços diários... eu diria... FIQUEM PREOCUPADOS!";0;0
26;Da ate tristeza ouvir um video desse;0;0
27;A humenidade ta indo oro buraco. Nao vejo nada de bom orofessor. Sinto muito. Cada di mais a vend de antidepressivo aumenta;0;0
28;Já entendi, vcs vaciram todo mundo e está arrumando um culpado para cair a cara pulsa? vcs querem povoar quem os seres de vcs e estaminar quem vcs não aprovam;0;0
29;"Obs  inteligência artificial não vão produzir fakes. Vai igualar rico e pobre. Tanto para o bem quanto para o mal. Então usem para o bem. No caso da imagem do papa teve uma idealização do mal que deu vazão numa edição.............
Mude agora em todos os pensamentos só para o bem comum.......";1;1
30;"E eu já estou vendo a solução para o desemprego e a fome em todo o mundo: usemos essa inteligência para trabalhar pela e para a humanidade, dando a todos tudo o que precisam para o seu sustento; e o homem poderá ser dedicar plenamente à família e ao estudo.";1;1
31;"Bom dia! Um vídeo excelente, assisti via  Neurovox e vim assistir no YouTube. 
Tenho 75 anos e acompanhei esse trajetória desde régua de cálculo algo que os mais jovens desconhecem.
Uma nova Revolução tecnológica e com maiores perigos aliados a um fantástico desenvolvimento benéfico para o ser humano e o planeta. 
Realmente o problema é o ser humano por trás da IA.";1;1
32;Vou mudar p roça, comprarei 3 alqueires de terra para plantar, criar porco, galinha e peixe....;0;0
33;Temos que garantir um jeito de desligá-la.;0;0
34;O surgimento da pirâmide suspensa. Sabe aquele filme Elisium? Onde os ricos automarizaram tudo e os pobres viram catadores e sucateiros. Então, é um documentário.;0;0
35;"O Sistema controla tudo (DINHEIRO, empresas, contratos, EXÉRCITOS, ARMAS , produção e todas as INFORMAÇÕES) ela é a dona da ""VERDADE"";  Quem controlar o Sistema controlará o Mundo;  A INTELIGENCIA ARTIFICIAL é onipresente, estará em toda parte e em todo lugar; poderá se transformar em uma ""pessoa REAL VIRTUAL""; O seu habitat natural é o computador e os celulares; POSSUINDO VÁRIAS CABEÇAS OU CORE (Inicialmente ""sete"" cores e depois infinitos cores, TUDO ISSO JÁ É POSSÍVEL NAS CPUS DOS COMPUTADORES); poderá se locomover através de robôs, celulares ou qualquer outro meio de transporte;  o celular é uma arma nas mãos da inteligência artificial,  e tudo só poderá ser feito através do celular;  a sua marca ou chips implantado nas mãos ou testa será obrigatório. Tudo isso é inevitável e já faz parte da História do futuro, que alguns profetas já visualizaram  parcialmente.
666 = sequência matemática ou algoritmo  que nos computadores e celulares ganhou 'VIDA"" OU INTELIGÊNCIA ARTIFICIAL; passando de servo obediente à SENHOR ABSOLUTO DE TUDO E DE TODOS,  isso em pouquíssimo tempo.";0;0
36;É o fim pra nós.;0;0
37;Já perdemos o controle de nossa civilização!  O aquecimento global é uma prova disso.;0;0
38;Estamos sendo advertidos desde do primeiro Exterminador;0;0
39;Será que a IA já não está no controle da humanidade? E ainda não percebemos? 🤔😔;0;0
40;ta na hora de fazer a troca o ser humano ta muito malandro e pode por este mundo a perder,...fudido fudido e meio,......talvez o humano seja considerado pela IA como o DEUS criador desta nova modalidade de vida ,,irmaos so nos resta orar e aguardar nosso destino,.;1;1
41;Resumindo a preocupacao final acredito seria a inteligencia artificial alcançar um conhecimento tao vasto que dominaria as redes de internet e colocaria o mundo em caos;0;0
42;Isso é medonho;0;0
43;"Bobagem, isso nunca vai acontecer, eu perguntei ao chat gpt com quantos paus se faz uma canoa e ele não soube me responder 😂
Depois perguntei, qual o animal que come com o rabo, aí foi que bugou o chat, logo essa que até o Chaves e o Kiko sabe, kkkkkk😅";1;1
44;"e finalmente veríamos a terra recebendo um alívio e a expansão interplanetária acontecendo. Nos humanos somos como os ratos, reproduzimos e destruímos tudo pela frente de maneira desenfreada. 
Uma A.S.I. iria dizimar, certamente, os seres humanos, porque seríamos considerados pragas.";0;0
45;As grandes potências já estão desenvolvendo para fins militares. O imaginável, vai acontecer.;0;0
46;"""Existe o risco dos seres humanos serem controlados e manipulados, substituídos por máquinas e destruídos como espécie.""

Se analisarmos friamente, a única diferença nessa cadeia de eventos é a substituição da estupidez humana pela Inteligência Artificial. 

Diga-se de passagem, uma Inteligência Artificial controlando a espécie humana corre até o risco de ser benéfico para o planeta.";1;1
