;Comentario;ClassificacaoManual;ClassificacaoSVM
0;"Isso é muito bom,porém estudos mostram
que essa é a geração terá o QI abaixo do esperado com tudo isso";0;0
1;ola parabens pelo trabalho;2;2
2;Primeira vez que vejo uma edição nesse nível  ,se é loku;2;2
3;Eu faço questão de deixar o like e salvar todos os vídeos, Daniel é elite, isso aqui é youtube Gold, meus amigos!;2;2
4;Conteúdo interessante mas você tem que achar um desses aí que melhore seu Ingles. Puta bixo, não é EA tá aí e AÍ.;2;2
5;Esse é o futuro!;1;1
6;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?;0;0
7;*Vendo essas I.A a primeira coisa que me vem em mente é o seriado Black Mirror.*;0;0
8;Em vez de educar o ser humano, tão educando ad máquinas. A máquinas herdarão a terra?;0;0
9;Amigo não conhecia teu canal, mas uma dica, você fala baixo, e se porta de maneira contida. Melhore isso que sua edição e roteiro são ótimas e mantém a gente assistindo.;2;2
10;Esse vídeo  ficou TOP demais. Parabéns;2;2
11;Cade parte 2 Blaze;2;2
12;Os likes nesse comentário são quantos reais o editor vai ganhar a mais nesse mês kkkkk;2;2
13;"Vídeo espetacular
Parte 2 + bônus";2;2
14;'Bem-vinda' Skynet...;0;2
15;"""Rewind i ei""
É rewind ei ai (A I)";2;2
16;Esse canal e realmente inovador;2;2
17;meu Deus que conteúdo...;2;2
18;Top;2;2
19;Cair de paraquedas nesse canal, sempre ouvir falar de marketing mais nunca conheci, queria aprender mais, o que me aconselha Daniel?;2;2
20;Mano meu cérebro explodiu aos 2 minutos de vídeo, expectativas superadas 😂;2;2
21;Q Top d+;2;2
22;:D;2;2
23;Jajá vai bater 1M de inscritos ;2;2
24;Caramba, e a chave do sucesso, obrigado, continua com esses vídeos agregando, está demais, parabéns, maratona do tudo.;2;2
